514,"Abrasives, Coated: Cloth, Fiber, Sandpaper, etc."
521,"Abrasives, Sandblasting, Metal"
528,"Abrasives, Sandblasting (Other than Metal)"
542,"Abrasives, Solid: Wheels, Stones, etc."
556,"Abrasives, Tumbling (Wheel)"
563,"Grinding and Polishing Compounds: Carborundum, Diamond, etc. (For Valve Grinding Compounds See Class 075)"
570,Pumice Stone
584,Steel Wool
1005,"Acoustical Tile, All Types"
1008,"Acoustical Tile Accessories: Channels, Grids, Mounting Hardware, Rods, Runners, Suspension Brackets, Tees, Wall Angles, and Wires"
1009,Acoustical Tile Insulation
1011,"Adhesives and Cements, Acoustical Tile"
1014,"Adhesives and Cements, Insulation"
1017,Aluminum Foil etc.
1030,"Bands, Clips, and Wires (For Pipe Insulation)"
1038,"Clips, Pins, etc. (For Duct Insulation)"
1041,"Cork: Blocks, Boards, Sheets, etc."
1045,Exterior Insulation and Finish Systems
1053,"Fiberglass: Bats, Blankets and Rolls"
1056,"Foam Glass: Blocks, Sheets, etc."
1057,"Foam_in_Place Insulation: Phenolic, Urethane, etc."
1059,"Foam Plastics: Blocks, Boards, Sheets, etc."
1063,"Insulation, Blown Type"
1065,"Jacketing (For Insulation): Canvas, Osnaburg, etc."
1070,"Magnesia: Blocks, Sheets, etc."
1072,"Mineral Wool: Blankets, Blocks, Boards"
1075,"Paints, Primers, Sealers, etc. (For Insulation)"
1076,"Paper Type Insulation Material (Cellulose, etc.)"
1078,"Pipe and Tubing Insulation, All Types"
1081,"Preformed Insulation, All Types (For Ells, Tees, Valves, etc.)"
1084,Rubber Insulation
1506,"Addressing Machine Supplies, Metal and Plastic Plate Type"
1510,"Addressing Machine Supplies, Paper Plate Type"
1515,"Chemicals and Supplies, Dry (For Bond Paper Type Copying Machines)"
1516,"Chemicals and Supplies, Wet (For Bond Paper Type Copying Machines)"
1520,Chemicals and Supplies (For Spirit Type Duplicating Machines)
1525,"Chemicals, Inks, and Supplies (For Mimeograph Machines)"
1539,"Paper, Chemicals, and Supplies (For Coated or Treated Paper Type Copying Machines)"
1545,"Paper, Chemicals, and Supplies (For Diffusion Transfer Type Copying Machines)"
1555,Paper and Supplies (For Dual Spectrum Process Copying Machines)
1570,"Paper, Chemicals, and Supplies (For Thermal Process Copying Machines)"
2002,Backhoe (For Farm Tractor)
2004,Brush and Tree Chippers
2006,"Brush Cutters and Saws, Motor Driven"
2013,"Cultivating Equipment, Farm: Go_Devils, Row Type Shovel Cultivators, Tooth and Spring Harrows, etc."
2014,"Curb Edger, Heavy Duty, Tractor Mounted"
2015,"Cutters and Shredders (Mowers), Heavy Duty, Flail: Tow Type and/or Center Mount Type"
2016,"Cutters and Shredders (Mowers), Heavy Duty, Reel and Rotary: Tow Type and/or Center Mount Type"
2018,Dozer Blades (For Farm Tractors)
2020,"Drying Equipment, Grain"
2023,Ensilage Cutters
2025,Farm Wagons
2027,Feed Mills and Mixers
2028,Feed Wagons
2030,"Fertilizer Applicators and Fittings, Liquid"
2031,"Fertilizer Distributors, Dry, Commercial (See Class 515 for Lawn Type Distributors)"
2033,"Garden Tractors, Cultivators, and Plows, Motor Driven"
2034,"Gang Mowers, Reel Type, Towed"
2035,Grain Bins and Tanks
2037,Grass Seed Strippers and Cleaners
2039,Grass Spriggers and Seeders
2041,"Harvesting Equipment: Bean, Corn, and Pea Pickers and Shellers, Combines, Cotton and Fruit Pickers, Headers, Sled Cutters and Threshers"
2043,"Haying Equipment: Balers, Dryers, Elevators and Rakes, etc."
2046,"Herbicide, Insecticide and Fungicide Applicators and Distributors"
2059,Land Levelers
2061,"Loaders, Tractor Mounted, Farm"
2062,Log Splitters
2063,Manure Spreaders
2065,"Mower (Steep Slope Type with Cutter Head on Telescoping Boom): Flail, Rotary, or Sickle Bar Cutter Heads, For Mounting on Tractors or Trucks (See Class 515 for Lawn Type Mowers)"
2066,"Mower, Tractor Mounted (Steep Slope Type with Cutter Head on Telescoping Boom): Flail, Rotary, or Sickle Bar Cutter Heads (See Class 515 for Lawn Type Mowers)"
2067,"Mower_Tractor Unit or Self_Propelled Mower, For Slope Mowing (See Class 515 for Lawn Type Mowers)"
2068,"Mower, Center Mounted; and Tractor (See Class 515 for Lawn Type Mowers)"
2069,Pasture Renovators
2071,"Planting Equipment, Broadcasting"
2072,"Planting Equipment, Drilling"
2073,"Planting Equipment, Row Crop"
2075,"Posthole Diggers, Tractor Mounted"
2076,"Protection Structures, Rollover (ROPS)"
2077,"Pulverizers and Rotary Tillers, Soil"
2079,Rock Pickers
2081,"Rodent Control Equipment, Tractor Operated"
2082,"Spade, Tree (Truck or Trailer Mounted, or Three_Point Hook_Up for Tractor Mounting) and other Tree Transplanting and Diggers"
2083,Sweeps and other Steel Shapes
2085,Terracing Equipment
2087,"Tillage Equipment, Heavy Duty, Farm: Blade Plows, Disc Harrows, Listers, Rotary Hoes, Tool Bars, etc."
2089,"Tractors, Farm, Wheel Type"
2090,"Tree and Root Cutters and Stump Grinders, Tractor Mounted"
